Stat	ID	Encode	Add	Multiply	Divide	ValShift	Save Bits	Save Add	Target Stat	Percent	PerLevel	PerLevelShift	ByTime	ItemSpecific	damagerelated
STATS_STRENGTH	0		125	55	1024		7	32	-1					0	0
STATS_ENERGY	1		100	55	1024		7	32	-1					0	0
STATS_DEXTERITY	2		125	55	1024		7	32	-1					0	0
STATS_VITALITY	3		100	55	1024		7	32	-1					0	0
STATS_STATPTS	4				1024				-1					0	0
STATS_NEWSKILLS	5				1024				-1					0	0
STATS_HITPOINTS	6				1024	8			-1					0	0
STATS_MAXHP	7		56	20	1024	8	8	32	-1					0	0
STATS_MANA	8				1024	8			-1					0	0
STATS_MAXMANA	9		81	20	1024	8	8	32	-1					0	0
STATS_STAMINA	10				1024	8			-1					0	0
STATS_MAXSTAMINA	11		75	20	1024	8	8	32	-1					0	0
STATS_LEVEL	12				1024				-1					0	0
STATS_EXPERIENCE	13				1024				-1					0	0
STATS_GOLD	14				1024				-1					0	0
STATS_GOLDBANK	15				1024				-1					0	0
STATS_ITEM_ARMOR_PERCENT	16		47	20	1024		9	0	31	1				0	0
STATS_ITEM_MAXDAMAGE_PERCENT	17		45	40	1024		9	0	22	1				0	1
STATS_ITEM_MINDAMAGE_PERCENT	18		45	40	1024		9	0	21	1				0	1
STATS_TOHIT	19		15	10	1024		10		-1					0	1
STATS_TOBLOCK	20		89	204	1024		6	0	-1					0	0
STATS_MINDAMAGE	21		122	200	1024		6	0	-1					0	1
STATS_MAXDAMAGE	22		94	100	1024		7	0	-1					0	1
STATS_SECONDARY_MINDAMAGE	23		76	128	1024		5	0	-1					0	1
STATS_SECONDARY_MAXDAMAGE	24		88	128	1024		6	0	-1					0	1
STATS_DAMAGEPERCENT	25		45	40	1024		8	0	-1					0	1
STATS_MANARECOVERY	26				1024		8	0	-1					0	0
STATS_MANARECOVERYBONUS	27				1024		8	0	-1					0	0
STATS_STAMINARECOVERYBONUS	28				1024		8	0	-1					0	0
STATS_LASTEXP	29				1024				-1					0	0
STATS_NEXTEXP	30				1024				-1					0	0
STATS_ARMORCLASS	31		17	10	1024		10	10	-1					0	0
STATS_ARMORCLASS_VS_MISSILE	32		11	5	1024		8	0	-1					0	0
STATS_ARMORCLASS_VS_HTH	33		13	7	1024		8	0	-1					0	0
STATS_NORMAL_DAMAGE_REDUCTION	34		188	200	1024		6	0	-1					0	0
STATS_MAGIC_DAMAGE_REDUCTION	35		397	340	1024		6	0	-1					0	0
STATS_DAMAGERESIST	36		152	68	1024		8	0	-1					0	0
STATS_MAGICRESIST	37		164	68	1024		8	0	-1					0	0
STATS_MAXMAGICRESIST	38		1091	409	1024		5	0	-1					0	0
STATS_FIRERESIST	39		43	20	1024		8	0	-1					0	0
STATS_MAXFIRERESIST	40		584	256	1024		5	0	-1					0	0
STATS_LIGHTRESIST	41		43	20	1024		8	0	-1					0	0
STATS_MAXLIGHTRESIST	42		584	256	1024		5	0	-1					0	0
STATS_COLDRESIST	43		43	20	1024		8	0	-1					0	0
STATS_MAXCOLDRESIST	44		584	256	1024		5	0	-1					0	0
STATS_POISONRESIST	45		43	20	1024		8	0	-1					0	0
STATS_MAXPOISONRESIST	46		526	256	1024		5	0	-1					0	0
STATS_DAMAGEAURA	47				1024				-1					0	0
STATS_FIREMINDAM	48		11	10	1024		8	0	-1					0	1
STATS_FIREMAXDAM	49		19	10	1024		8	0	-1					0	1
STATS_LIGHTMINDAM	50		12	10	1024		6	0	-1					0	1
STATS_LIGHTMAXDAM	51		17	10	1024		9	0	-1					0	1
STATS_MAGICMINDAM	52		196	20	1024		6	0	-1					0	1
STATS_MAGICMAXDAM	53		183	20	1024		7	0	-1					0	1
STATS_COLDMINDAM	54		451	512	1024		6	0	-1					0	1
STATS_COLDMAXDAM	55		128	340	1024		8	0	-1					0	1
STATS_COLDLENGTH	56		77	4	1024		8	0	-1					0	1
STATS_POISONMINDAM	57		12	28	1024		9	0	-1					0	1
STATS_POISONMAXDAM	58		11	34	1024		9	0	-1					0	1
STATS_POISONLENGTH	59		0	4	1024		8	0	-1					0	1
STATS_LIFEDRAINMINDAM	60		1044	341	1024		7	0	-1					0	1
STATS_LIFEDRAINMAXDAM	61				1024				-1					0	1
STATS_MANADRAINMINDAM	62		1179	341	1024		7	0	-1					0	1
STATS_MANADRAINMAXDAM	63				1024				-1					0	1
STATS_STAMDRAINMINDAM	64				1024				-1					0	1
STATS_STAMDRAINMAXDAM	65				1024				-1					0	1
STATS_STUNLENGTH	66				1024				-1					0	1
STATS_VELOCITYPERCENT	67				1024		7	30	-1					0	0
STATS_ATTACKRATE	68				1024		7	30	-1					0	1
STATS_OTHER_ANIMRATE	69				1024				-1					0	0
STATS_QUANTITY	70				1024				-1					0	1
STATS_VALUE	71				1024		8	100	-1					0	0
STATS_DURABILITY	72				1024		8	0	-1					0	0
STATS_MAXDURABILITY	73		9	4	1024		8	0	-1					0	0
STATS_HPREGEN	74		451	410	1024		5	10	-1					0	0
